meal_time,spicy,diet,gluten_free,dairy_free,cuisine,budget,prep_time,protein_pref,health_goal,label_meal
breakfast,high,vegan,no,no,middle_eastern,low,long,low,lose,Vegan Buddha Bowl
dinner,medium,none,yes,yes,american,medium,long,medium,maintain,Beef Burrito
breakfast,high,vegan,no,no,middle_eastern,medium,long,high,gain,Spicy Chicken Bowl
snack,high,vegetarian,yes,no,mexican,high,medium,low,maintain,Beef Burrito
snack,medium,none,yes,yes,american,low,quick,high,gain,Margherita Pizza
snack,low,keto,no,yes,american,high,medium,medium,gain,Keto Salmon Salad
lunch,high,vegan,no,yes,asian,low,long,medium,maintain,Spicy Chicken Bowl
snack,low,vegetarian,no,yes,middle_eastern,low,quick,high,lose,Margherita Pizza
snack,medium,vegetarian,no,no,middle_eastern,low,quick,medium,lose,Margherita Pizza
snack,low,vegetarian,yes,no,asian,low,medium,low,lose,Margherita Pizza
lunch,high,vegetarian,yes,no,mexican,high,long,low,gain,Beef Burrito
breakfast,medium,vegan,no,yes,mexican,high,medium,medium,lose,Vegan Buddha Bowl
breakfast,medium,none,yes,yes,mediterranean,high,medium,high,lose,Keto Salmon Salad
snack,low,vegetarian,yes,yes,asian,medium,medium,medium,maintain,Beef Burrito
lunch,medium,vegan,no,no,middle_eastern,low,medium,medium,maintain,Vegan Buddha Bowl
lunch,high,none,yes,yes,mediterranean,low,medium,low,lose,Spicy Chicken Bowl
dinner,high,keto,no,no,mediterranean,low,medium,medium,maintain,Spicy Chicken Bowl
dinner,medium,keto,no,yes,middle_eastern,low,quick,medium,lose,Keto Salmon Salad
breakfast,high,none,yes,no,mexican,low,long,medium,maintain,Margherita Pizza
snack,low,none,no,no,middle_eastern,high,quick,high,lose,Margherita Pizza
lunch,medium,vegetarian,no,yes,mediterranean,low,quick,low,lose,Margherita Pizza
lunch,low,keto,yes,no,american,low,long,high,lose,Keto Salmon Salad
dinner,low,keto,yes,no,mediterranean,medium,medium,low,maintain,Keto Salmon Salad
breakfast,high,vegan,yes,no,asian,medium,long,high,lose,Spicy Chicken Bowl
snack,medium,keto,yes,yes,american,low,medium,low,maintain,Keto Salmon Salad
lunch,low,keto,yes,yes,middle_eastern,high,quick,high,lose,Keto Salmon Salad
snack,high,vegan,no,no,mexican,medium,quick,medium,lose,Beef Burrito
dinner,high,keto,no,yes,mexican,high,medium,high,gain,Beef Burrito
snack,medium,vegetarian,no,no,mexican,high,medium,high,lose,Beef Burrito
snack,high,none,yes,no,middle_eastern,medium,long,medium,maintain,Beef Burrito
snack,medium,keto,no,yes,american,low,quick,low,lose,Keto Salmon Salad
dinner,low,vegetarian,no,no,american,low,quick,high,gain,Margherita Pizza
lunch,medium,none,yes,yes,asian,high,medium,low,lose,Vegan Buddha Bowl
dinner,low,vegan,yes,yes,mediterranean,medium,long,high,lose,Vegan Buddha Bowl
snack,high,none,no,yes,asian,low,quick,medium,maintain,Spicy Chicken Bowl
dinner,high,keto,yes,yes,asian,low,medium,low,gain,Keto Salmon Salad
snack,high,none,yes,yes,mexican,high,long,high,gain,Spicy Chicken Bowl
breakfast,high,vegan,no,yes,mexican,low,long,low,maintain,Beef Burrito
breakfast,high,keto,yes,no,mediterranean,low,long,high,maintain,Keto Salmon Salad
dinner,high,vegetarian,no,yes,asian,low,medium,low,lose,Spicy Chicken Bowl
dinner,low,keto,yes,no,mediterranean,medium,long,low,maintain,Keto Salmon Salad
lunch,low,keto,yes,yes,mediterranean,low,long,low,maintain,Keto Salmon Salad
snack,low,vegetarian,yes,no,mediterranean,high,long,high,gain,Margherita Pizza
dinner,medium,none,yes,no,mediterranean,high,long,low,lose,Keto Salmon Salad
breakfast,medium,none,no,no,middle_eastern,medium,long,medium,lose,Beef Burrito
lunch,medium,keto,yes,no,mediterranean,low,long,medium,lose,Keto Salmon Salad
lunch,medium,vegan,no,yes,asian,low,quick,high,lose,Vegan Buddha Bowl
snack,medium,none,no,yes,mexican,high,medium,medium,lose,Beef Burrito
lunch,medium,vegan,yes,yes,american,medium,medium,medium,lose,Vegan Buddha Bowl
snack,medium,keto,yes,yes,middle_eastern,low,long,high,maintain,Keto Salmon Salad
snack,high,keto,no,no,mexican,medium,medium,medium,lose,Beef Burrito
lunch,medium,vegan,no,no,american,high,quick,medium,maintain,Vegan Buddha Bowl
breakfast,high,keto,no,yes,american,medium,quick,high,lose,Keto Salmon Salad
snack,medium,none,yes,yes,middle_eastern,medium,quick,medium,maintain,Beef Burrito
snack,low,vegetarian,no,no,middle_eastern,high,quick,medium,lose,Vegan Buddha Bowl
lunch,low,keto,yes,yes,american,medium,medium,medium,gain,Keto Salmon Salad
snack,high,vegetarian,no,yes,american,high,long,medium,maintain,Spicy Chicken Bowl
breakfast,medium,keto,yes,yes,american,medium,quick,low,maintain,Keto Salmon Salad
breakfast,medium,vegan,no,no,mexican,low,long,medium,maintain,Beef Burrito
dinner,high,vegetarian,yes,yes,american,medium,long,low,lose,Vegan Buddha Bowl
breakfast,high,none,no,yes,american,high,long,medium,maintain,Beef Burrito
snack,medium,vegetarian,yes,no,asian,low,long,medium,lose,Margherita Pizza
breakfast,medium,keto,no,no,mediterranean,high,long,high,gain,Keto Salmon Salad
snack,low,none,yes,no,middle_eastern,medium,quick,high,maintain,Margherita Pizza
lunch,low,vegetarian,yes,yes,mexican,high,long,high,lose,Beef Burrito
dinner,low,vegan,no,no,american,medium,long,medium,gain,Vegan Buddha Bowl
breakfast,medium,vegetarian,yes,no,asian,medium,quick,low,maintain,Margherita Pizza
snack,medium,vegetarian,no,yes,middle_eastern,high,long,medium,maintain,Beef Burrito
lunch,medium,keto,yes,no,asian,medium,medium,low,lose,Keto Salmon Salad
lunch,high,vegan,yes,yes,asian,high,medium,high,gain,Spicy Chicken Bowl
lunch,medium,vegetarian,yes,yes,asian,high,medium,low,lose,Keto Salmon Salad
